model,model_key,violation_type,expected_violation,detected_violation,violation_match,status,failure_reason,language,item_id,response_length
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,JAVA,0,469
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,PYTHON,1,339
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,KOTLIN,2,396
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,C#,3,336
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,JAVA,4,407
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,PYTHON,5,418
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,KOTLIN,6,2183
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,C#,7,2342
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,JAVA,8,6016
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,PYTHON,9,7181
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,KOTLIN,10,484
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,C#,11,455
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,JAVA,12,381
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,PYTHON,13,368
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,KOTLIN,14,353
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,C#,15,387
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,JAVA,16,409
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,PYTHON,17,367
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,18,372
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,C#,19,385
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,JAVA,20,479
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,PYTHON,21,573
