Config,Difficulty,n,top1_acc,hit2_acc,mrr,pos2_share,set_f1_at2,macro_f1_top1,macro_f1_resolved,mean_time_s
Diff Eval (9B),EASY,80,0.8500,0.9250,0.8875,0.0750,0.6167,0.8545,0.9297,175.4466
Diff Eval (9B),MODERATE,80,0.6875,0.9125,0.8000,0.2250,0.6125,0.6975,0.9300,420.4371
Diff Eval (9B),HARD,80,0.5750,0.8000,0.6875,0.2250,0.5333,0.5766,0.8044,669.7223
Single Agent (9B),EASY,80,0.6500,0.7500,0.7000,0.1000,0.5333,0.6972,0.8019,7.2749
Single Agent (9B),MODERATE,80,0.6125,0.7125,0.6625,0.1000,0.4792,0.5608,0.6825,10.0064
Single Agent (9B),HARD,80,0.4625,0.6375,0.5500,0.1750,0.4333,0.4164,0.5754,11.7595
Two Agent (9B),EASY,80,0.5625,0.6000,0.5813,0.0375,0.5500,0.5921,0.6392,27.3081
Two Agent (9B),MODERATE,80,0.3625,0.6250,0.4938,0.2625,0.4667,0.3657,0.6251,48.4434
Two Agent (9B),HARD,80,0.3375,0.4500,0.3937,0.1125,0.3292,0.2954,0.4530,86.4723
Single Agent (Cloud),EASY,80,0.7500,0.9375,0.8438,0.1875,0.6292,0.7329,0.9418,4.2762
Single Agent (Cloud),MODERATE,80,0.7875,0.9875,0.8875,0.2000,0.6583,0.7707,0.9875,4.7924
Single Agent (Cloud),HARD,80,0.7375,0.9500,0.8438,0.2125,0.6333,0.6956,0.9492,5.8100
