Config,Violation,n,top1_acc,hit2_acc,mrr,pos2_share,set_f1_at2,macro_f1_top1,macro_f1_resolved,mean_time_s
Diff Eval (9B),SRP,48,0.8750,0.9583,0.9167,0.0833,0.6389,0.1867,0.1957,458.6056
Diff Eval (9B),OCP,48,0.5833,0.7292,0.6562,0.1458,0.4861,0.1474,0.1687,502.6652
Diff Eval (9B),LSP,48,0.7292,0.8125,0.7708,0.0833,0.5417,0.1687,0.1793,364.9294
Diff Eval (9B),ISP,48,0.7292,0.9792,0.8542,0.2500,0.6597,0.1687,0.1979,471.8244
Diff Eval (9B),DIP,48,0.6042,0.9167,0.7604,0.3125,0.6111,0.1506,0.1913,311.3187
Single Agent (9B),SRP,48,0.8125,0.8125,0.8125,0.0000,0.6111,0.1793,0.1793,9.0379
Single Agent (9B),OCP,48,0.7083,0.9792,0.8438,0.2708,0.6597,0.1659,0.1979,10.8456
Single Agent (9B),LSP,48,0.6667,0.6667,0.6667,0.0000,0.4444,0.1600,0.1600,10.0669
Single Agent (9B),ISP,48,0.5208,0.8333,0.6771,0.3125,0.5556,0.1370,0.1818,10.4260
Single Agent (9B),DIP,48,0.1667,0.2083,0.1875,0.0417,0.1389,0.0571,0.0690,8.0248
Two Agent (9B),SRP,48,0.7708,0.8750,0.8229,0.1042,0.6875,0.1741,0.1867,34.5642
Two Agent (9B),OCP,48,0.6250,0.8125,0.7188,0.1875,0.6875,0.1538,0.1793,70.2046
Two Agent (9B),LSP,48,0.2708,0.3333,0.3021,0.0625,0.2778,0.0852,0.1000,61.7571
Two Agent (9B),ISP,48,0.2708,0.3750,0.3229,0.1042,0.2917,0.0852,0.1091,63.8081
Two Agent (9B),DIP,48,0.1667,0.3958,0.2812,0.2292,0.2986,0.0571,0.1134,40.0390
Single Agent (Cloud),SRP,48,1.0000,1.0000,1.0000,0.0000,0.6736,0.2000,0.2000,5.9302
Single Agent (Cloud),OCP,48,0.9792,0.9792,0.9792,0.0000,0.6528,0.1979,0.1979,4.0096
Single Agent (Cloud),LSP,48,0.8958,0.8958,0.8958,0.0000,0.5972,0.1890,0.1890,5.2558
Single Agent (Cloud),ISP,48,0.3958,1.0000,0.6979,0.6042,0.6667,0.1134,0.2000,5.0177
Single Agent (Cloud),DIP,48,0.5208,0.9167,0.7188,0.3958,0.6111,0.1370,0.1913,4.5844
