example_id,ground_truth,level,language,on_pos1,on_pos2,off_pos1,off_pos2,on_hit2,off_hit2,flip,on_n_detected,off_n_detected,on_time,off_time
SRP_1,SRP,EASY,JAVA,OCP,NONE,DIP,OCP,False,False,both_wrong,1,2,36.21,53.5
SRP_2,SRP,EASY,JAVA,SRP,OCP,SRP,OCP,True,True,both_correct,3,3,38.77,58.64
SRP_3,SRP,EASY,JAVA,SRP,OCP,DIP,SRP,True,True,both_correct,2,3,36.75,57.31
SRP_4,SRP,EASY,JAVA,SRP,NONE,SRP,DIP,True,True,both_correct,1,2,35.71,50.03
SRP_5,SRP,MODERATE,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,111.73,136.42
SRP_6,SRP,MODERATE,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,185.38,223.2
SRP_7,SRP,MODERATE,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,213.29,238.33
SRP_8,SRP,MODERATE,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,155.55,177.06
SRP_9,SRP,HARD,JAVA,DIP,OCP,DIP,OCP,False,False,both_wrong,4,4,226.94,246.33
SRP_10,SRP,HARD,JAVA,NONE,NONE,DIP,SRP,False,True,off_only,0,5,209.89,257.54
SRP_11,SRP,HARD,JAVA,DIP,SRP,SRP,LSP,True,True,both_correct,4,4,348.74,856.28
SRP_12,SRP,HARD,JAVA,SRP,DIP,NONE,NONE,True,False,on_only,4,0,336.15,327.7
SRP_13,SRP,EASY,PYTHON,OCP,NONE,OCP,NONE,False,False,both_wrong,1,1,32.76,45.37
SRP_14,SRP,EASY,PYTHON,OCP,NONE,DIP,OCP,False,False,both_wrong,1,2,37.58,53.72
SRP_15,SRP,EASY,PYTHON,OCP,NONE,DIP,OCP,False,False,both_wrong,1,2,35.13,46.78
SRP_16,SRP,EASY,PYTHON,SRP,OCP,SRP,DIP,True,True,both_correct,2,3,33.14,47.9
SRP_17,SRP,MODERATE,PYTHON,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,131.54,148.93
SRP_18,SRP,MODERATE,PYTHON,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,179.1,214.54
SRP_19,SRP,MODERATE,PYTHON,SRP,DIP,SRP,DIP,True,True,both_correct,4,4,204.99,238.27
SRP_20,SRP,MODERATE,PYTHON,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,133.52,147.23
SRP_21,SRP,HARD,PYTHON,SRP,DIP,DIP,SRP,True,True,both_correct,4,5,269.13,277.41
SRP_22,SRP,HARD,PYTHON,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,678.46,234.08
SRP_23,SRP,HARD,PYTHON,NONE,NONE,DIP,SRP,False,True,off_only,0,5,236.45,292.58
