Workflow,Strategy,Difficulty,N,Top-1 Acc,Hit@2,MRR@2,Pos-2 Share
Single Agent,Top-2,EASY,80,0.55,0.9125,0.73125,0.3625
Single Agent,Top-2,MODERATE,80,0.3,0.5875,0.44375,0.2875
Single Agent,Top-2,HARD,80,0.2375,0.4375,0.3375,0.2
Single Agent,Top-1,EASY,80,0.45,0.45,0.45,0.0
Single Agent,Top-1,MODERATE,80,0.25,0.25,0.25,0.0
Single Agent,Top-1,HARD,80,0.2,0.2,0.2,0.0
Two Agent,Top-2,EASY,80,0.5875,0.8125,0.7,0.225
Two Agent,Top-2,MODERATE,80,0.4,0.625,0.5125,0.225
Two Agent,Top-2,HARD,80,0.3125,0.4875,0.4,0.175
Two Agent,Top-1,EASY,80,0.675,0.675,0.675,0.0
Two Agent,Top-1,MODERATE,80,0.45,0.45,0.45,0.0
Two Agent,Top-1,HARD,80,0.2,0.2,0.2,0.0
Diff Eval,Top-2,EASY,80,0.6875,0.85,0.76875,0.1625
Diff Eval,Top-2,MODERATE,80,0.5125,0.8625,0.6875,0.35
Diff Eval,Top-2,HARD,80,0.6125,0.8,0.70625,0.1875
Diff Eval,Top-1,EASY,80,0.675,0.675,0.675,0.0
Diff Eval,Top-1,MODERATE,80,0.55,0.55,0.55,0.0
Diff Eval,Top-1,HARD,80,0.6125,0.6125,0.6125,0.0
