Workflow,Strategy,Violation,N,Top-1 Acc,Hit@2,MRR@2,Pos-2 Share
Single Agent,Top-2,SRP,48,1.0,1.0,1.0,0.0
Single Agent,Top-2,OCP,48,0.4583333333333333,1.0,0.7291666666666666,0.5416666666666666
Single Agent,Top-2,LSP,48,0.3333333333333333,0.4166666666666667,0.375,0.08333333333333333
Single Agent,Top-2,ISP,48,0.020833333333333332,0.3125,0.16666666666666666,0.2916666666666667
Single Agent,Top-2,DIP,48,0.0,0.5,0.25,0.5
Single Agent,Top-1,SRP,48,1.0,1.0,1.0,0.0
Single Agent,Top-1,OCP,48,0.1875,0.1875,0.1875,0.0
Single Agent,Top-1,LSP,48,0.3125,0.3125,0.3125,0.0
Single Agent,Top-1,ISP,48,0.0,0.0,0.0,0.0
Single Agent,Top-1,DIP,48,0.0,0.0,0.0,0.0
Two Agent,Top-2,SRP,48,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0
Two Agent,Top-2,OCP,48,0.75,0.9375,0.84375,0.1875
Two Agent,Top-2,LSP,48,0.125,0.16666666666666666,0.14583333333333334,0.041666666666666664
Two Agent,Top-2,ISP,48,0.14583333333333334,0.4583333333333333,0.3020833333333333,0.3125
Two Agent,Top-2,DIP,48,0.1875,0.6875,0.4375,0.5
Two Agent,Top-1,SRP,48,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.0
Two Agent,Top-1,OCP,48,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.0
Two Agent,Top-1,LSP,48,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
Two Agent,Top-1,ISP,48,0.4375,0.4375,0.4375,0.0
Two Agent,Top-1,DIP,48,0.10416666666666667,0.10416666666666667,0.10416666666666667,0.0
Diff Eval,Top-2,SRP,48,0.4583333333333333,0.8125,0.6354166666666666,0.3541666666666667
Diff Eval,Top-2,OCP,48,0.375,0.7083333333333334,0.5416666666666666,0.3333333333333333
Diff Eval,Top-2,LSP,48,0.75,0.7708333333333334,0.7604166666666666,0.020833333333333332
Diff Eval,Top-2,ISP,48,0.625,0.9375,0.78125,0.3125
Diff Eval,Top-2,DIP,48,0.8125,0.9583333333333334,0.8854166666666666,0.14583333333333334
Diff Eval,Top-1,SRP,48,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0
Diff Eval,Top-1,OCP,48,0.3541666666666667,0.3541666666666667,0.3541666666666667,0.0
Diff Eval,Top-1,LSP,48,0.75,0.75,0.75,0.0
Diff Eval,Top-1,ISP,48,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
Diff Eval,Top-1,DIP,48,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
