strategy,run,example_id,level,language,actual,pred1,pred2,top1_correct,top2_correct,reciprocal_rank,correct_position,processing_time_s,detection_success,loc,chars,tokens,detected_count,gt_detected_anywhere,all_detected_types
single_agent,run_1,SRP_1,EASY,JAVA,SRP,SRP,OCP,True,True,1.0,1,4.32,True,17.0,409.0,85.0,,,
single_agent,run_1,SRP_2,EASY,JAVA,SRP,SRP,OCP,True,True,1.0,1,2.32,True,19.0,534.0,96.0,,,
single_agent,run_1,SRP_3,EASY,JAVA,SRP,SRP,OCP,True,True,1.0,1,2.7,True,21.0,569.0,122.0,,,
single_agent,run_1,SRP_4,EASY,JAVA,SRP,SRP,OCP,True,True,1.0,1,2.24,True,17.0,416.0,86.0,,,
single_agent,run_1,SRP_5,MODERATE,JAVA,SRP,SRP,DIP,True,True,1.0,1,2.76,True,168.0,4688.0,922.0,,,
single_agent,run_1,SRP_6,MODERATE,JAVA,SRP,SRP,OCP,True,True,1.0,1,3.26,True,256.0,7899.0,1471.0,,,
single_agent,run_1,SRP_7,MODERATE,JAVA,SRP,SRP,DIP,True,True,1.0,1,3.17,True,185.0,6117.0,1510.0,,,
single_agent,run_1,SRP_8,MODERATE,JAVA,SRP,SRP,DIP,True,True,1.0,1,2.83,True,124.0,4615.0,906.0,,,
single_agent,run_1,SRP_9,HARD,JAVA,SRP,SRP,DIP,True,True,1.0,1,3.83,True,370.0,12738.0,2568.0,,,
single_agent,run_1,SRP_10,HARD,JAVA,SRP,SRP,DIP,True,True,1.0,1,3.94,True,337.0,13357.0,2597.0,,,
single_agent,run_1,SRP_11,HARD,JAVA,SRP,SRP,OCP,True,True,1.0,1,4.31,True,330.0,12494.0,2630.0,,,
single_agent,run_1,SRP_12,HARD,JAVA,SRP,SRP,OCP,True,True,1.0,1,4.32,True,388.0,16985.0,3462.0,,,
single_agent,run_1,SRP_13,EASY,PYTHON,SRP,SRP,OCP,True,True,1.0,1,2.15,True,10.0,286.0,65.0,,,
single_agent,run_1,SRP_14,EASY,PYTHON,SRP,SRP,OCP,True,True,1.0,1,2.03,True,11.0,423.0,86.0,,,
single_agent,run_1,SRP_15,EASY,PYTHON,SRP,SRP,OCP,True,True,1.0,1,2.5,True,13.0,390.0,95.0,,,
single_agent,run_1,SRP_16,EASY,PYTHON,SRP,SRP,OCP,True,True,1.0,1,2.26,True,10.0,303.0,71.0,,,
single_agent,run_1,SRP_17,MODERATE,PYTHON,SRP,SRP,DIP,True,True,1.0,1,2.7,True,120.0,4007.0,858.0,,,
single_agent,run_1,SRP_18,MODERATE,PYTHON,SRP,SRP,OCP,True,True,1.0,1,3.34,True,195.0,7146.0,1440.0,,,
single_agent,run_1,SRP_19,MODERATE,PYTHON,SRP,SRP,DIP,True,True,1.0,1,3.04,True,167.0,5735.0,1427.0,,,
single_agent,run_1,SRP_20,MODERATE,PYTHON,SRP,SRP,DIP,True,True,1.0,1,2.74,True,89.0,3928.0,840.0,,,
single_agent,run_1,SRP_21,HARD,PYTHON,SRP,SRP,DIP,True,True,1.0,1,3.55,True,254.0,10438.0,2191.0,,,
single_agent,run_1,SRP_22,HARD,PYTHON,SRP,SRP,DIP,True,True,1.0,1,3.7,True,300.0,12992.0,2443.0,,,
single_agent,run_1,SRP_23,HARD,PYTHON,SRP,SRP,DIP,True,True,1.0,1,3.76,True,248.0,11175.0,2445.0,,,
single_agent,run_1,SRP_24,HARD,PYTHON,SRP,SRP,DIP,True,True,1.0,1,4.11,True,329.0,14413.0,2800.0,,,
single_agent,run_1,SRP_25,EASY,KOTLIN,SRP,SRP,OCP,True,True,1.0,1,2.06,True,10.0,229.0,49.0,,,
single_agent,run_1,SRP_26,EASY,KOTLIN,SRP,SRP,OCP,True,True,1.0,1,2.31,True,10.0,305.0,63.0,,,
single_agent,run_1,SRP_27,EASY,KOTLIN,SRP,SRP,OCP,True,True,1.0,1,2.13,True,12.0,330.0,75.0,,,
single_agent,run_1,SRP_28,EASY,KOTLIN,SRP,SRP,OCP,True,True,1.0,1,1.88,True,10.0,267.0,59.0,,,
single_agent,run_1,SRP_29,MODERATE,KOTLIN,SRP,SRP,DIP,True,True,1.0,1,2.77,True,116.0,3523.0,724.0,,,
single_agent,run_1,SRP_30,MODERATE,KOTLIN,SRP,SRP,OCP,True,True,1.0,1,3.21,True,179.0,6179.0,1174.0,,,
single_agent,run_1,SRP_31,MODERATE,KOTLIN,SRP,SRP,OCP,True,True,1.0,1,3.02,True,164.0,5372.0,1253.0,,,
single_agent,run_1,SRP_32,MODERATE,KOTLIN,SRP,SRP,DIP,True,True,1.0,1,2.76,True,102.0,3859.0,742.0,,,
single_agent,run_1,SRP_33,HARD,KOTLIN,SRP,SRP,DIP,True,True,1.0,1,3.75,True,286.0,9834.0,1910.0,,,
single_agent,run_1,SRP_34,HARD,KOTLIN,SRP,SRP,DIP,True,True,1.0,1,3.62,True,260.0,10479.0,1959.0,,,
single_agent,run_1,SRP_35,HARD,KOTLIN,SRP,SRP,DIP,True,True,1.0,1,3.68,True,285.0,10237.0,2089.0,,,
single_agent,run_1,SRP_36,HARD,KOTLIN,SRP,SRP,OCP,True,True,1.0,1,4.36,True,361.0,14620.0,2794.0,,,
single_agent,run_1,SRP_37,EASY,CSHARP,SRP,SRP,OCP,True,True,1.0,1,2.11,True,21.0,428.0,88.0,,,
single_agent,run_1,SRP_38,EASY,CSHARP,SRP,SRP,OCP,True,True,1.0,1,2.36,True,23.0,539.0,94.0,,,
single_agent,run_1,SRP_39,EASY,CSHARP,SRP,SRP,OCP,True,True,1.0,1,2.83,True,25.0,577.0,122.0,,,
single_agent,run_1,SRP_40,EASY,CSHARP,SRP,SRP,OCP,True,True,1.0,1,2.24,True,21.0,421.0,84.0,,,
single_agent,run_1,SRP_41,MODERATE,CSHARP,SRP,SRP,DIP,True,True,1.0,1,2.81,True,184.0,4448.0,842.0,,,
single_agent,run_1,SRP_42,MODERATE,CSHARP,SRP,SRP,OCP,True,True,1.0,1,3.21,True,289.0,7682.0,1387.0,,,
single_agent,run_1,SRP_43,MODERATE,CSHARP,SRP,SRP,DIP,True,True,1.0,1,3.23,True,218.0,5972.0,1368.0,,,
single_agent,run_1,SRP_44,MODERATE,CSHARP,SRP,SRP,DIP,True,True,1.0,1,2.71,True,149.0,4707.0,889.0,,,
