class,precision,recall,f1,tp,fp,fn,source
SRP,0.5365853658536586,0.4583333333333333,0.49438202247191015,22,19,26,Diff Eval Top-1 Strategy
OCP,0.68,0.3541666666666667,0.46575342465753433,17,8,31,Diff Eval Top-1 Strategy
LSP,0.7058823529411765,0.75,0.7272727272727272,36,15,12,Diff Eval Top-1 Strategy
ISP,0.8888888888888888,0.6666666666666666,0.761904761904762,32,4,16,Diff Eval Top-1 Strategy
DIP,0.4819277108433735,0.8333333333333334,0.6106870229007634,40,43,8,Diff Eval Top-1 Strategy
SRP,0.5789473684210527,0.4583333333333333,0.5116279069767442,22,16,26,Diff Eval Top-2 (Pos-1)
OCP,0.72,0.375,0.4931506849315069,18,7,30,Diff Eval Top-2 (Pos-1)
LSP,0.6792452830188679,0.75,0.712871287128713,36,17,12,Diff Eval Top-2 (Pos-1)
ISP,0.9090909090909091,0.625,0.7407407407407406,30,3,18,Diff Eval Top-2 (Pos-1)
DIP,0.4482758620689655,0.8125,0.5777777777777777,39,48,9,Diff Eval Top-2 (Pos-1)
SRP,0.8297872340425532,0.8125,0.8210526315789474,39,8,9,Diff Eval Top-2 (Resolved)
OCP,0.8717948717948718,0.7083333333333334,0.7816091954022988,34,5,14,Diff Eval Top-2 (Resolved)
LSP,0.9487179487179487,0.7708333333333334,0.8505747126436781,37,2,11,Diff Eval Top-2 (Resolved)
ISP,0.9375,0.9375,0.9375,45,3,3,Diff Eval Top-2 (Resolved)
DIP,0.7301587301587301,0.9583333333333334,0.8288288288288289,46,17,2,Diff Eval Top-2 (Resolved)
