model,violation_type,example_id,level,language,detection_success,detected_violation_type,actual_violation_type,processing_time,api_call_success
deepseek-r1-8b,LSP,LSP_1,EASY,JAVA,True,LSP,LSP,4.5,True
deepseek-r1-8b,LSP,LSP_2,EASY,PYTHON,True,LSP,LSP,1.43,True
deepseek-r1-8b,LSP,LSP_3,EASY,KOTLIN,False,,LSP,0.87,True
deepseek-r1-8b,LSP,LSP_4,EASY,C#,True,LSP,LSP,1.4,True
deepseek-r1-8b,LSP,LSP_5,MODERATE,JAVA,True,LSP,LSP,1.74,True
deepseek-r1-8b,LSP,LSP_6,MODERATE,PYTHON,True,LSP,LSP,1.79,True
deepseek-r1-8b,LSP,LSP_7,MODERATE,KOTLIN,True,LSP,LSP,1.67,True
deepseek-r1-8b,LSP,LSP_8,MODERATE,C#,True,LSP,LSP,1.72,True
deepseek-r1-8b,LSP,LSP_9,HARD,JAVA,True,LSP,LSP,2.67,True
deepseek-r1-8b,LSP,LSP_10,HARD,PYTHON,False,ISP,LSP,2.11,True
deepseek-r1-8b,LSP,LSP_11,HARD,KOTLIN,True,LSP,LSP,2.37,True
deepseek-r1-8b,LSP,LSP_12,HARD,C#,False,,LSP,1.58,True
deepseek-r1-8b,LSP,LSP_13,EASY,JAVA,False,OCP,LSP,1.47,True
deepseek-r1-8b,LSP,LSP_14,EASY,PYTHON,False,,LSP,0.77,True
deepseek-r1-8b,LSP,LSP_15,EASY,KOTLIN,True,LSP,LSP,1.56,True
deepseek-r1-8b,LSP,LSP_16,EASY,C#,True,LSP,LSP,1.53,True
deepseek-r1-8b,LSP,LSP_17,MODERATE,JAVA,False,OCP,LSP,1.89,True
deepseek-r1-8b,LSP,LSP_18,MODERATE,PYTHON,False,OCP,LSP,1.53,True
deepseek-r1-8b,LSP,LSP_19,MODERATE,KOTLIN,True,LSP,LSP,1.42,True
deepseek-r1-8b,LSP,LSP_20,MODERATE,C#,True,LSP,LSP,2.02,True
deepseek-r1-8b,LSP,LSP_21,HARD,JAVA,True,LSP,LSP,2.12,True
deepseek-r1-8b,LSP,LSP_22,HARD,PYTHON,False,OCP,LSP,2.14,True
deepseek-r1-8b,LSP,LSP_23,HARD,KOTLIN,False,OCP,LSP,2.26,True
deepseek-r1-8b,LSP,LSP_24,HARD,C#,True,LSP,LSP,2.28,True
deepseek-r1-8b,LSP,LSP_25,EASY,JAVA,False,ISP,LSP,1.3,True
deepseek-r1-8b,LSP,LSP_26,EASY,PYTHON,False,DIP,LSP,1.35,True
deepseek-r1-8b,LSP,LSP_27,EASY,KOTLIN,False,OCP,LSP,1.51,True
deepseek-r1-8b,LSP,LSP_28,EASY,C#,False,OCP,LSP,1.76,True
deepseek-r1-8b,LSP,LSP_29,MODERATE,JAVA,False,OCP,LSP,1.87,True
deepseek-r1-8b,LSP,LSP_30,MODERATE,PYTHON,True,LSP,LSP,1.6,True
deepseek-r1-8b,LSP,LSP_31,MODERATE,KOTLIN,True,LSP,LSP,1.75,True
deepseek-r1-8b,LSP,LSP_32,MODERATE,C#,True,LSP,LSP,2.92,True
deepseek-r1-8b,LSP,LSP_33,HARD,JAVA,False,ISP,LSP,2.46,True
deepseek-r1-8b,LSP,LSP_34,HARD,PYTHON,False,ISP,LSP,2.9,True
deepseek-r1-8b,LSP,LSP_35,HARD,KOTLIN,False,ISP,LSP,2.81,True
deepseek-r1-8b,LSP,LSP_36,HARD,C#,False,ISP,LSP,2.7,True
deepseek-r1-8b,LSP,LSP_37,EASY,JAVA,False,,LSP,0.8,True
deepseek-r1-8b,LSP,LSP_38,EASY,PYTHON,False,,LSP,0.81,True
deepseek-r1-8b,LSP,LSP_39,EASY,KOTLIN,False,,LSP,0.8,True
deepseek-r1-8b,LSP,LSP_40,EASY,C#,False,,LSP,0.83,True
deepseek-r1-8b,LSP,LSP_41,MODERATE,JAVA,True,LSP,LSP,1.84,True
deepseek-r1-8b,LSP,LSP_42,MODERATE,PYTHON,False,OCP,LSP,1.76,True
deepseek-r1-8b,LSP,LSP_43,MODERATE,KOTLIN,True,LSP,LSP,1.6,True
deepseek-r1-8b,LSP,LSP_44,MODERATE,C#,True,LSP,LSP,1.63,True
deepseek-r1-8b,LSP,LSP_45,HARD,JAVA,False,OCP,LSP,2.88,True
deepseek-r1-8b,LSP,LSP_46,HARD,PYTHON,False,ISP,LSP,1.74,True
deepseek-r1-8b,LSP,LSP_47,HARD,KOTLIN,False,OCP,LSP,1.92,True
deepseek-r1-8b,LSP,LSP_48,HARD,C#,False,OCP,LSP,2.93,True
deepseek-r1-8b,SRP,SRP_1,EASY,JAVA,False,,SRP,0.78,True
deepseek-r1-8b,SRP,SRP_2,EASY,JAVA,False,,SRP,0.79,True
