agent_type,model,violation_type,example_id,level,language,detection_success,detected_violation_type,actual_violation_type,processing_time,api_call_success
langgraph,deepseek-r1-8b,SRP,SRP_1,EASY,JAVA,True,SRP,SRP,1.05,True
langgraph,deepseek-r1-8b,SRP,SRP_2,EASY,JAVA,False,OCP,SRP,1.39,True
langgraph,deepseek-r1-8b,SRP,SRP_3,EASY,JAVA,True,SRP,SRP,1.06,True
langgraph,deepseek-r1-8b,SRP,SRP_4,EASY,JAVA,False,,SRP,0.71,True
langgraph,deepseek-r1-8b,SRP,SRP_5,MODERATE,JAVA,False,DIP,SRP,1.57,True
langgraph,deepseek-r1-8b,SRP,SRP_6,MODERATE,JAVA,False,OCP,SRP,1.99,True
langgraph,deepseek-r1-8b,SRP,SRP_7,MODERATE,JAVA,True,SRP,SRP,1.78,True
langgraph,deepseek-r1-8b,SRP,SRP_8,MODERATE,JAVA,False,DIP,SRP,1.58,True
langgraph,deepseek-r1-8b,SRP,SRP_9,HARD,JAVA,True,SRP,SRP,2.38,True
langgraph,deepseek-r1-8b,SRP,SRP_10,HARD,JAVA,True,SRP,SRP,2.43,True
langgraph,deepseek-r1-8b,SRP,SRP_11,HARD,JAVA,True,SRP,SRP,2.68,True
langgraph,deepseek-r1-8b,SRP,SRP_12,HARD,JAVA,True,SRP,SRP,2.85,True
langgraph,deepseek-r1-8b,SRP,SRP_13,EASY,PYTHON,False,,SRP,0.71,True
langgraph,deepseek-r1-8b,SRP,SRP_14,EASY,PYTHON,False,OCP,SRP,1.37,True
langgraph,deepseek-r1-8b,SRP,SRP_15,EASY,PYTHON,False,,SRP,0.71,True
langgraph,deepseek-r1-8b,SRP,SRP_16,EASY,PYTHON,False,OCP,SRP,1.2,True
langgraph,deepseek-r1-8b,SRP,SRP_17,MODERATE,PYTHON,True,SRP,SRP,1.69,True
langgraph,deepseek-r1-8b,SRP,SRP_18,MODERATE,PYTHON,True,SRP,SRP,1.82,True
langgraph,deepseek-r1-8b,SRP,SRP_19,MODERATE,PYTHON,True,SRP,SRP,1.8,True
langgraph,deepseek-r1-8b,SRP,SRP_20,MODERATE,PYTHON,False,DIP,SRP,1.55,True
langgraph,deepseek-r1-8b,SRP,SRP_21,HARD,PYTHON,True,SRP,SRP,2.43,True
langgraph,deepseek-r1-8b,SRP,SRP_22,HARD,PYTHON,True,SRP,SRP,2.44,True
langgraph,deepseek-r1-8b,SRP,SRP_23,HARD,PYTHON,True,SRP,SRP,2.4,True
langgraph,deepseek-r1-8b,SRP,SRP_24,HARD,PYTHON,True,SRP,SRP,2.67,True
langgraph,deepseek-r1-8b,SRP,SRP_25,EASY,KOTLIN,False,,SRP,0.71,True
langgraph,deepseek-r1-8b,SRP,SRP_26,EASY,KOTLIN,False,,SRP,0.73,True
langgraph,deepseek-r1-8b,SRP,SRP_27,EASY,KOTLIN,True,SRP,SRP,1.06,True
langgraph,deepseek-r1-8b,SRP,SRP_28,EASY,KOTLIN,False,,SRP,0.71,True
langgraph,deepseek-r1-8b,SRP,SRP_29,MODERATE,KOTLIN,False,DIP,SRP,1.53,True
langgraph,deepseek-r1-8b,SRP,SRP_30,MODERATE,KOTLIN,False,OCP,SRP,1.84,True
langgraph,deepseek-r1-8b,SRP,SRP_31,MODERATE,KOTLIN,True,SRP,SRP,1.72,True
langgraph,deepseek-r1-8b,SRP,SRP_32,MODERATE,KOTLIN,False,DIP,SRP,1.38,True
langgraph,deepseek-r1-8b,SRP,SRP_33,HARD,KOTLIN,True,SRP,SRP,2.08,True
langgraph,deepseek-r1-8b,SRP,SRP_34,HARD,KOTLIN,True,SRP,SRP,2.19,True
langgraph,deepseek-r1-8b,SRP,SRP_35,HARD,KOTLIN,True,SRP,SRP,2.24,True
langgraph,deepseek-r1-8b,SRP,SRP_36,HARD,KOTLIN,True,SRP,SRP,2.86,True
langgraph,deepseek-r1-8b,SRP,SRP_37,EASY,CSHARP,True,SRP,SRP,1.03,True
langgraph,deepseek-r1-8b,SRP,SRP_38,EASY,CSHARP,True,SRP,SRP,1.22,True
langgraph,deepseek-r1-8b,SRP,SRP_39,EASY,CSHARP,True,SRP,SRP,0.98,True
langgraph,deepseek-r1-8b,SRP,SRP_40,EASY,CSHARP,False,OCP,SRP,1.67,True
langgraph,deepseek-r1-8b,SRP,SRP_41,MODERATE,CSHARP,True,SRP,SRP,1.54,True
langgraph,deepseek-r1-8b,SRP,SRP_42,MODERATE,CSHARP,False,OCP,SRP,1.94,True
langgraph,deepseek-r1-8b,SRP,SRP_43,MODERATE,CSHARP,True,SRP,SRP,1.91,True
langgraph,deepseek-r1-8b,SRP,SRP_44,MODERATE,CSHARP,False,DIP,SRP,1.56,True
langgraph,deepseek-r1-8b,SRP,SRP_45,HARD,CSHARP,False,DIP,SRP,2.32,True
langgraph,deepseek-r1-8b,SRP,SRP_46,HARD,CSHARP,True,SRP,SRP,2.44,True
langgraph,deepseek-r1-8b,SRP,SRP_47,HARD,CSHARP,True,SRP,SRP,2.51,True
langgraph,deepseek-r1-8b,SRP,SRP_48,HARD,CSHARP,False,DIP,SRP,2.85,True
langgraph,deepseek-r1-8b,OCP,OCP_1,EASY,CSHARP,True,OCP,OCP,1.49,True
langgraph,deepseek-r1-8b,OCP,OCP_2,EASY,CSHARP,True,OCP,OCP,1.41,True
langgraph,deepseek-r1-8b,OCP,OCP_3,EASY,CSHARP,True,OCP,OCP,1.46,True
langgraph,deepseek-r1-8b,OCP,OCP_4,EASY,CSHARP,True,OCP,OCP,1.36,True
langgraph,deepseek-r1-8b,OCP,OCP_5,HARD,CSHARP,True,OCP,OCP,3.08,True
langgraph,deepseek-r1-8b,OCP,OCP_6,HARD,CSHARP,True,OCP,OCP,2.9,True
langgraph,deepseek-r1-8b,OCP,OCP_7,HARD,CSHARP,True,OCP,OCP,2.87,True
langgraph,deepseek-r1-8b,OCP,OCP_8,HARD,CSHARP,True,OCP,OCP,3.09,True
langgraph,deepseek-r1-8b,OCP,OCP_9,MODERATE,CSHARP,True,OCP,OCP,1.61,True
langgraph,deepseek-r1-8b,OCP,OCP_10,MODERATE,CSHARP,True,OCP,OCP,1.38,True
langgraph,deepseek-r1-8b,OCP,OCP_11,MODERATE,CSHARP,True,OCP,OCP,2.26,True
langgraph,deepseek-r1-8b,OCP,OCP_12,MODERATE,CSHARP,True,OCP,OCP,2.3,True
langgraph,deepseek-r1-8b,OCP,OCP_13,EASY,JAVA,True,OCP,OCP,1.47,True
langgraph,deepseek-r1-8b,OCP,OCP_14,EASY,JAVA,True,OCP,OCP,1.41,True
langgraph,deepseek-r1-8b,OCP,OCP_15,EASY,JAVA,True,OCP,OCP,1.36,True
langgraph,deepseek-r1-8b,OCP,OCP_16,EASY,JAVA,True,OCP,OCP,1.44,True
langgraph,deepseek-r1-8b,OCP,OCP_17,HARD,JAVA,True,OCP,OCP,2.76,True
langgraph,deepseek-r1-8b,OCP,OCP_18,HARD,JAVA,True,OCP,OCP,2.02,True
langgraph,deepseek-r1-8b,OCP,OCP_19,HARD,JAVA,True,OCP,OCP,2.91,True
langgraph,deepseek-r1-8b,OCP,OCP_20,HARD,JAVA,True,OCP,OCP,2.85,True
langgraph,deepseek-r1-8b,OCP,OCP_21,MODERATE,JAVA,True,OCP,OCP,1.59,True
langgraph,deepseek-r1-8b,OCP,OCP_22,MODERATE,JAVA,True,OCP,OCP,1.41,True
langgraph,deepseek-r1-8b,OCP,OCP_23,MODERATE,JAVA,True,OCP,OCP,2.3,True
langgraph,deepseek-r1-8b,OCP,OCP_24,MODERATE,JAVA,True,OCP,OCP,2.15,True
langgraph,deepseek-r1-8b,OCP,OCP_25,EASY,KOTLIN,True,OCP,OCP,1.24,True
langgraph,deepseek-r1-8b,OCP,OCP_26,EASY,KOTLIN,True,OCP,OCP,1.07,True
langgraph,deepseek-r1-8b,OCP,OCP_27,EASY,KOTLIN,True,OCP,OCP,1.42,True
langgraph,deepseek-r1-8b,OCP,OCP_28,EASY,KOTLIN,True,OCP,OCP,1.18,True
langgraph,deepseek-r1-8b,OCP,OCP_29,HARD,KOTLIN,True,OCP,OCP,2.7,True
langgraph,deepseek-r1-8b,OCP,OCP_30,HARD,KOTLIN,True,OCP,OCP,2.07,True
langgraph,deepseek-r1-8b,OCP,OCP_31,HARD,KOTLIN,True,OCP,OCP,2.85,True
langgraph,deepseek-r1-8b,OCP,OCP_32,HARD,KOTLIN,True,OCP,OCP,2.63,True
langgraph,deepseek-r1-8b,OCP,OCP_33,MODERATE,KOTLIN,True,OCP,OCP,1.7,True
langgraph,deepseek-r1-8b,OCP,OCP_34,MODERATE,KOTLIN,True,OCP,OCP,1.54,True
langgraph,deepseek-r1-8b,OCP,OCP_35,MODERATE,KOTLIN,True,OCP,OCP,2.1,True
langgraph,deepseek-r1-8b,OCP,OCP_36,MODERATE,KOTLIN,True,OCP,OCP,2.06,True
langgraph,deepseek-r1-8b,OCP,OCP_37,EASY,PYTHON,True,OCP,OCP,1.45,True
langgraph,deepseek-r1-8b,OCP,OCP_38,EASY,PYTHON,True,OCP,OCP,1.43,True
langgraph,deepseek-r1-8b,OCP,OCP_39,EASY,PYTHON,True,OCP,OCP,1.46,True
langgraph,deepseek-r1-8b,OCP,OCP_40,EASY,PYTHON,True,OCP,OCP,1.34,True
