agent_type,model,violation_type,example_id,level,language,detection_success,detected_violation_type,actual_violation_type,processing_time,api_call_success
diff_eval,qwen3-8b,SRP,SRP_1,EASY,JAVA,False,ISP,SRP,29.23,True
diff_eval,qwen3-8b,SRP,SRP_2,EASY,JAVA,True,SRP,SRP,35.43,True
diff_eval,qwen3-8b,SRP,SRP_3,EASY,JAVA,True,SRP,SRP,32.73,True
diff_eval,qwen3-8b,SRP,SRP_4,EASY,JAVA,True,SRP,SRP,29.11,True
diff_eval,qwen3-8b,SRP,SRP_5,MODERATE,JAVA,True,SRP,SRP,112.9,True
diff_eval,qwen3-8b,SRP,SRP_6,MODERATE,JAVA,False,ISP,SRP,192.94,True
diff_eval,qwen3-8b,SRP,SRP_7,MODERATE,JAVA,False,DIP,SRP,205.91,True
diff_eval,qwen3-8b,SRP,SRP_8,MODERATE,JAVA,False,ISP,SRP,146.58,True
diff_eval,qwen3-8b,SRP,SRP_9,HARD,JAVA,False,DIP,SRP,234.25,True
diff_eval,qwen3-8b,SRP,SRP_10,HARD,JAVA,False,DIP,SRP,221.02,True
diff_eval,qwen3-8b,SRP,SRP_11,HARD,JAVA,False,DIP,SRP,201.51,True
diff_eval,qwen3-8b,SRP,SRP_12,HARD,JAVA,True,SRP,SRP,273.46,True
diff_eval,qwen3-8b,SRP,SRP_13,EASY,PYTHON,True,SRP,SRP,22.74,True
diff_eval,qwen3-8b,SRP,SRP_14,EASY,PYTHON,True,SRP,SRP,31.98,True
diff_eval,qwen3-8b,SRP,SRP_15,EASY,PYTHON,True,SRP,SRP,28.32,True
diff_eval,qwen3-8b,SRP,SRP_16,EASY,PYTHON,True,SRP,SRP,25.91,True
diff_eval,qwen3-8b,SRP,SRP_17,MODERATE,PYTHON,False,ISP,SRP,121.93,True
diff_eval,qwen3-8b,SRP,SRP_18,MODERATE,PYTHON,False,DIP,SRP,216.88,True
diff_eval,qwen3-8b,SRP,SRP_19,MODERATE,PYTHON,True,SRP,SRP,206.38,True
diff_eval,qwen3-8b,SRP,SRP_20,MODERATE,PYTHON,True,SRP,SRP,120.82,True
diff_eval,qwen3-8b,SRP,SRP_21,HARD,PYTHON,False,DIP,SRP,275.23,True
diff_eval,qwen3-8b,SRP,SRP_22,HARD,PYTHON,False,DIP,SRP,440.4,True
diff_eval,qwen3-8b,SRP,SRP_23,HARD,PYTHON,True,SRP,SRP,255.88,True
diff_eval,qwen3-8b,SRP,SRP_24,HARD,PYTHON,False,DIP,SRP,161.2,True
diff_eval,qwen3-8b,SRP,SRP_25,EASY,KOTLIN,True,SRP,SRP,23.86,True
diff_eval,qwen3-8b,SRP,SRP_26,EASY,KOTLIN,True,SRP,SRP,29.85,True
diff_eval,qwen3-8b,SRP,SRP_27,EASY,KOTLIN,True,SRP,SRP,30.78,True
diff_eval,qwen3-8b,SRP,SRP_28,EASY,KOTLIN,True,SRP,SRP,29.86,True
diff_eval,qwen3-8b,SRP,SRP_29,MODERATE,KOTLIN,False,,SRP,333.77,True
diff_eval,qwen3-8b,SRP,SRP_30,MODERATE,KOTLIN,False,ISP,SRP,167.12,True
diff_eval,qwen3-8b,SRP,SRP_31,MODERATE,KOTLIN,False,DIP,SRP,156.79,True
diff_eval,qwen3-8b,SRP,SRP_32,MODERATE,KOTLIN,True,SRP,SRP,112.94,True
diff_eval,qwen3-8b,SRP,SRP_33,HARD,KOTLIN,False,DIP,SRP,227.02,True
diff_eval,qwen3-8b,SRP,SRP_34,HARD,KOTLIN,False,ISP,SRP,242.94,True
