agent_type,model,violation_type,example_id,level,language,detection_success,detected_violation_type,actual_violation_type,processing_time,api_call_success
two_agent,deepseek-r1-8b,SRP,SRP_1,EASY,JAVA,True,SRP,SRP,2.82,True
two_agent,deepseek-r1-8b,SRP,SRP_2,EASY,JAVA,True,SRP,SRP,2.66,True
two_agent,deepseek-r1-8b,SRP,SRP_3,EASY,JAVA,True,SRP,SRP,3.04,True
two_agent,deepseek-r1-8b,SRP,SRP_4,EASY,JAVA,True,SRP,SRP,2.66,True
two_agent,deepseek-r1-8b,SRP,SRP_5,MODERATE,JAVA,True,SRP,SRP,3.63,True
two_agent,deepseek-r1-8b,SRP,SRP_6,MODERATE,JAVA,True,SRP,SRP,4.61,True
two_agent,deepseek-r1-8b,SRP,SRP_7,MODERATE,JAVA,True,SRP,SRP,4.33,True
two_agent,deepseek-r1-8b,SRP,SRP_8,MODERATE,JAVA,True,SRP,SRP,4.03,True
two_agent,deepseek-r1-8b,SRP,SRP_9,HARD,JAVA,True,SRP,SRP,5.53,True
two_agent,deepseek-r1-8b,SRP,SRP_10,HARD,JAVA,True,SRP,SRP,5.97,True
two_agent,deepseek-r1-8b,SRP,SRP_11,HARD,JAVA,True,SRP,SRP,6.52,True
two_agent,deepseek-r1-8b,SRP,SRP_12,HARD,JAVA,True,SRP,SRP,25.61,True
two_agent,deepseek-r1-8b,SRP,SRP_13,EASY,PYTHON,True,SRP,SRP,2.75,True
two_agent,deepseek-r1-8b,SRP,SRP_14,EASY,PYTHON,True,SRP,SRP,2.95,True
two_agent,deepseek-r1-8b,SRP,SRP_15,EASY,PYTHON,True,SRP,SRP,2.85,True
two_agent,deepseek-r1-8b,SRP,SRP_16,EASY,PYTHON,True,SRP,SRP,2.54,True
two_agent,deepseek-r1-8b,SRP,SRP_17,MODERATE,PYTHON,True,SRP,SRP,3.53,True
two_agent,deepseek-r1-8b,SRP,SRP_18,MODERATE,PYTHON,True,SRP,SRP,4.99,True
two_agent,deepseek-r1-8b,SRP,SRP_19,MODERATE,PYTHON,True,SRP,SRP,4.46,True
two_agent,deepseek-r1-8b,SRP,SRP_20,MODERATE,PYTHON,True,SRP,SRP,4.36,True
two_agent,deepseek-r1-8b,SRP,SRP_21,HARD,PYTHON,True,SRP,SRP,4.82,True
two_agent,deepseek-r1-8b,SRP,SRP_22,HARD,PYTHON,True,SRP,SRP,6.16,True
two_agent,deepseek-r1-8b,SRP,SRP_23,HARD,PYTHON,True,SRP,SRP,5.83,True
two_agent,deepseek-r1-8b,SRP,SRP_24,HARD,PYTHON,True,SRP,SRP,5.94,True
two_agent,deepseek-r1-8b,SRP,SRP_25,EASY,KOTLIN,True,SRP,SRP,2.53,True
two_agent,deepseek-r1-8b,SRP,SRP_26,EASY,KOTLIN,True,SRP,SRP,2.76,True
two_agent,deepseek-r1-8b,SRP,SRP_27,EASY,KOTLIN,True,SRP,SRP,2.86,True
two_agent,deepseek-r1-8b,SRP,SRP_28,EASY,KOTLIN,True,SRP,SRP,3.28,True
two_agent,deepseek-r1-8b,SRP,SRP_29,MODERATE,KOTLIN,True,SRP,SRP,3.57,True
two_agent,deepseek-r1-8b,SRP,SRP_30,MODERATE,KOTLIN,True,SRP,SRP,4.48,True
two_agent,deepseek-r1-8b,SRP,SRP_31,MODERATE,KOTLIN,True,SRP,SRP,4.86,True
two_agent,deepseek-r1-8b,SRP,SRP_32,MODERATE,KOTLIN,True,SRP,SRP,4.02,True
two_agent,deepseek-r1-8b,SRP,SRP_33,HARD,KOTLIN,True,SRP,SRP,4.85,True
two_agent,deepseek-r1-8b,SRP,SRP_34,HARD,KOTLIN,True,SRP,SRP,5.51,True
two_agent,deepseek-r1-8b,SRP,SRP_35,HARD,KOTLIN,True,SRP,SRP,5.56,True
two_agent,deepseek-r1-8b,SRP,SRP_36,HARD,KOTLIN,True,SRP,SRP,5.74,True
two_agent,deepseek-r1-8b,SRP,SRP_37,EASY,CSHARP,True,SRP,SRP,3.12,True
two_agent,deepseek-r1-8b,SRP,SRP_38,EASY,CSHARP,True,SRP,SRP,2.93,True
